Year;[0];[1-4];[5-9];[10-14];[15-19];[20-24];[25-29];[30-34];[35-39];[40-44];[45-49];[50-54];[55-59];[60-64];[65-69];[70-74];[75-79];[80-84];[85+]; All;Age-standardized death rate per 100 000 standard population2
2000;4,28310763;3,68896855;3,65458925;4,55960988;25,59855667;27,75785553;18,98217956;15,37269797;15,62977283;15,11460969;14,6224414;13,72149449;14,03197523;14,63150946;14,83183852;17,87197905;23,24761965;28,10711521;30,09727127;15,23193436;14,71790735
2001;3,47071756;3,67771889;3,314498;4,30525823;25,43524365;27,76759745;19,41762552;15,45364723;15,8340911;15,5825195;14,67091576;13,88224652;13,49530899;13,65296747;14,61285583;17,8918768;24,13485241;28,33552761;27,45381843;15,21364944;14,66747648
2002;3,02450419;3,4734198;3,19584548;4,25804732;27,23281743;28,49562117;19,44455514;15,95215822;15,70165881;15,72056077;15,35062518;14,37556308;13,37510011;15,11473765;15,19685934;18,57755087;23,3680314;28,33895879;27,51972592;15,58317497;15,02021158
2003;3,64671249;3,23487618;3,07454622;4,38344819;25,70992978;27,39330289;19,03698225;15,43132063;15,38209728;16,0957453;15,17380393;14,69274596;14,25853407;14,38167156;14,67256127;17,84433662;22,20703586;28,0830468;28,36553221;15,3209584;14,69828318
2004;3,43373998;3,27621199;3,06545522;4,4501916;24,98817886;27,3039782;19,55430999;15,44621688;15,17647605;15,05009426;15,52708767;14,70544788;13,86943122;14,21034262;15,55772746;16,62159401;22,26493191;26,65407702;25,55749603;15,15551881;14,5595739
2005;3,43347472;3,0561032;2,89680125;3,7731791;23,18077166;28,07319756;19,38631402;16,43156594;15,00336588;15,55958288;15,38836292;15,02169595;14,60209185;14,70558488;15,57527239;17,28885995;20,98002203;24,35069682;24,49009388;15,1178904;14,49271276
2006;3,38970493;2,94090867;2,6636378;3,49050343;22,77226432;28,37351098;19,72526592;16,24844677;15,17998979;15,41735048;15,72974733;14,91655154;14,03609273;14,39130182;14,75583858;15,9694847;19,79399344;24,41020152;22,7683909;14,9499755;14,34136983
2007;2,83562399;2,61750412;2,35359305;3,48444831;21,47258128;27,08663217;19,11664541;15,28467;14,69557346;14,73137767;15,17114518;14,72154128;13,91620293;12,63603623;13,80008323;16,19809436;19,14166824;22,54851177;23,13673315;14,30367233;13,70117344
2008;2,25585388;2,08784928;1,94688955;2,59932177;17,01451854;23,45880041;18,48768283;14,02519466;13,32108071;13,73155364;14,46240609;13,54566043;12,6762282;12,99702653;12,60062316;15,36773791;17,79031098;20,5321611;22,1316443;12,91624604;12,30837469
2009;2,17313736;2,2641249;1,92457484;2,48144854;14,82392762;19,87919097;16,22195099;12,45632169;12,04894683;12,34048011;13,12897155;12,74138651;11,71232411;11,77190634;12,32875116;13,36702512;16,01006062;20,87212767;19,90970397;11,66735786;11,04240453
2010;1,80967418;2,08500855;1,77205787;2,26413613;13,19099315;19,29113408;15,25863115;12,63204935;11,57289677;11,44295358;12,27666197;11,97437258;12,29928081;11,68287388;12,06858678;12,17505878;17,15133622;19,71388331;23,03493601;11,26560106;10,57160473
2011;2,26415811;1,98726918;1,7385688;2,16574083;12,696845;18,93360178;15,05876612;12,52676705;10,86888179;11,56206722;11,96331143;12,84948502;11,76753783;11,76349545;11,94148393;14,09956412;16,6277346;19,35000261;21,37709674;11,1851041;10,44804628
2012;1,7245055;2,18849462;1,65038416;2,02009174;12,04253423;19,25943185;15,58421283;13,2774699;11,68433535;11,9496169;11,93876925;13,47015398;12,85054644;12,21803162;12,64105346;14,29122921;15,91531339;19,64315803;20,69608859;11,49489028;10,69656448
2013;1,7197602;2,00360698;1,67157754;2,03621194;10,81950874;18,57071129;14,96175225;12,75892838;11,25773738;11,57787653;11,89164784;12,39169283;12,80523251;11,48617333;12,06175255;13,01262596;15,74720144;19,56146434;19,87933735;11,04612534;10,23877372
2014;1,60028627;1,80545053;1,67893369;1,86920534;11,45014463;17,94256943;14,93369893;12,69299402;11,23098815;10,89338852;11,0561856;13,22103781;12,31256247;11,78102335;11,34112073;13,35085946;15,75244029;18,46026612;19,55459165;10,93878523;10,11339482
2015;1,72732133;2,08997917;1,70458463;2,04847679;12,02238293;18,63297946;16,04713664;13,23147224;12,41268847;11,60372585;12,03939259;13,95298756;13,39806141;12,63260139;12,95983451;13,19941011;15,26296086;18,75148152;21,13576021;11,64896437;10,74852566
2016;2,33767628;2,13508709;1,85871728;2,24233843;12,42955007;19,36082313;17,08422549;14,90126758;13,04227575;12,72256709;12,98313541;14,22595782;14,13024605;13,6225859;13,37572143;14,00892435;16,20161477;21,42186512;20,34836905;12,37585773;11,42053016
2017;2,3670382;2,34167531;1,62215141;2,07669343;12,16088213;18,33895204;16,69850317;14,2276706;13,54458366;12,66064913;13,40677791;13,83512491;14,59088187;13,78754503;12,63701708;13,93504334;17,97831882;20,69179512;21,35429812;12,30202255;11,2789011
2018;2,07024229;1,89170923;1,69068204;1,72972215;11,04698208;17,76724381;16,37873622;14,05949932;13,37252058;11,94572913;13,52420017;13,2636882;14,62879042;13,76342854;12,95994678;13,88482303;16,98197893;19,35822696;19,2707897;11,97078787;10,9243516
2019;1,75484777;1,80575408;1,72025041;2,06644173;10,43264808;16,52703963;15,65507914;13,4252907;13,74746882;12,28191963;12,66830698;13,21258839;14,47129099;13,54893103;13,10904596;13,55489223;17,51277703;20,44745828;20,23946131;11,80314218;10,68495483
2020;1,82919938;1,8233384;1,61136211;2,31869082;12,18289061;18,9947799;17,6754423;16,59257558;15,13245501;14,32400808;13,54356848;14,08799364;15,28622493;14,42730145;12,94683486;12,60896743;15,33758886;17,00922166;17,09547697;12,67270817;11,74554809
2021;2,62285217;1,96474699;1,9356952;2,37777409;13,59171236;20,05868997;18,92282452;18,63128864;17,38291887;16,40307271;14,67213359;16,35114985;16,20466468;16,06761978;14,53457347;14,72951783;16,28164144;18,29268936;19,08217496;14,03841514;12,98659169
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Death rate per 100 000 population ;;;;;;;;;;;;;;;;;;