Year;[0];[1-4];[5-9];[10-14];[15-19];[20-24];[25-29];[30-34];[35-39];[40-44];[45-49];[50-54];[55-59];[60-64];[65-69];[70-74];[75-79];[80-84];[85+];[All]
2000;163;567;751;936;5176;5264;3679;3153;3549;3392;2938;2413;1890;1581;1414;1583;1724;1390;1276;42866
2001;140;564;669;899;5155;5465;3675;3196;3522;3549;3047;2557;1915;1518;1393;1571;1792;1459;1209;43328
2002;122;541;636;900;5549;5760;3689;3343;3441;3616;3270;2700;2005;1755;1456;1615;1734;1506;1264;44937
2003;146;510;608;929;5265;5678;3649;3195;3293;3696;3302;2798;2252;1741;1430;1533;1655;1521;1337;44555
2004;140;524;601;941;5180;5726;3825;3162;3195;3470;3435;2867;2287;1789;1549;1414;1650;1482;1242;44505
2005;141;495;566;787;4877;5906;3890;3299;3151;3557;3460;3004;2534;1912;1578;1471;1555;1374;1248;44811
2006;140;479;525;720;4856;5990;4085;3202;3216;3466;3586;3055;2558;1923;1531;1364;1461;1383;1206;44760
2007;122;435;472;708;4630;5747;4018;2958;3085;3220;3457;3086;2534;1827;1483;1400;1424;1302;1218;43137
2008;98;349;393;547;3751;5004;3740;2750;2688;2965;3275;2901;2380;1969;1412;1364;1290;1162;1158;39199
2009;93;378;394;519;3285;4282;3329;2455;2418;2621;2967;2781;2253;1878;1439;1217;1158;1199;1063;35738
2010;76;348;366;473;2928;4194;3170;2509;2313;2395;2756;2651;2425;1947;1479;1141;1248;1144;1246;34812
2011;93;333;360;451;2820;4182;3180;2513;2166;2389;2655;2864;2369;2026;1536;1357;1220;1118;1215;34851
2012;69;365;343;420;2660;4323;3346;2699;2327;2445;2611;3013;2642;2162;1716;1416;1188;1125;1224;36099
2013;67;331;349;423;2366;4229;3266;2634;2246;2352;2558;2772;2685;2080;1729;1333;1204;1112;1210;34950
2014;61;295;352;388;2476;4127;3314;2664;2251;2201;2340;2947;2624;2181;1708;1424;1239;1050;1210;34859
2015;65;338;358;425;2574;4302;3619;2824;2507;2335;2512;3088;2889;2392;2035;1477;1239;1079;1315;37379
2016;88;338;390;468;2652;4465;3911;3232;2661;2554;2676;3114;3068;2634;2170;1646;1351;1246;1309;39976
2017;90;367;338;436;2589;4200;3879;3134;2798;2539;2736;2984;3178;2721;2105;1728;1543;1225;1402;39992
2018;80;296;348;365;2349;4027;3854;3144;2802;2398;2739;2813;3185;2768;2208;1818;1507;1174;1279;39156
2019;69;283;349;437;2217;3708;3717;3048;2925;2475;2551;2757;3139;2768;2283;1865;1620;1277;1350;38840
2020;73;286;323;489;2588;4228;4213;3825;3271;2907;2716;2899;3293;2982;2307;1810;1492;1099;1143;41947
2021;106;310;385;500;2901;4438;4500;4355;3815;3360;2933;3322;3451;3342;2642;2181;1662;1214;1315;46736